"ID"	"Androgen"	"EGFR"	"Estrogen"	"Hypoxia"	"JAK-STAT"	"MAPK"	"NFkB"	"p53"	"PI3K"	"TGFb"	"TNFa"	"Trail"	"VEGF"	"WNT"
"TCGA.05.4244.01"	20.2373173419887	29.8842814026246	18.5680010721322	347.093586110369	-119.021245452856	75.278206518567	175.306065385389	82.5537945899544	-90.6698124191885	-125.053208249113	304.61896799307	-3.15639322756803	32.3382072311231	-16.0410814136822
"TCGA.05.4249.01"	42.1999170837802	7.90274640056986	-78.936092580844	-43.530604043403	159.674662476966	38.8537232538548	-154.091823914178	-21.6375805430524	36.7571977974292	-53.2136735802804	-280.11509981738	16.4471634811248	58.2036439987169	-47.5710330696253
"TCGA.05.4250.01"	38.0622006923754	203.26207739475	52.7658348783912	321.472036755772	220.475068467204	326.089502155223	214.286829077487	53.3018484130686	56.8973251402173	38.3545240016198	315.833768439551	9.03846748245466	-39.6553583065712	5.07185166108911
"TCGA.05.4382.01"	-113.634463432161	-25.1062888264247	33.5201611846911	654.546934546353	38.90831439345	-41.6028225037079	751.319749076708	-71.5510050653972	-0.0299777909643617	289.050690157111	682.262102508169	23.3372021656304	-12.2876287963927	56.8794787616316
"TCGA.05.4384.01"	152.713222284209	-94.3051035057443	46.6156076210929	-348.754593342027	-472.086477703901	-89.6936124308086	-281.310974864863	272.449846823673	-43.367425695657	-90.5530033869901	-291.719332049037	-8.93103625476173	-93.8798759381618	7.05503389008012
"TCGA.05.4389.01"	-79.1550976808846	-58.7785525416119	-47.2168637186666	-386.054567953325	320.724828263775	-99.4330188975711	-49.4060137396513	262.588975165356	-40.1820445934307	-215.199861779839	-97.6291077814306	55.9430609802929	-67.4157449421698	34.6323062477916
"TCGA.05.4390.01"	54.4298425016232	73.209948339174	184.435057118024	494.143570637803	-1116.45216543789	25.1199688695147	-165.447140990223	-342.928778818253	-51.4038323166069	46.6044808754573	-32.9890341801487	-13.8590391564294	-37.1459719494043	-48.887627203692
"TCGA.05.4395.01"	-29.2324231920931	206.234326635263	-49.862486575124	461.035386415747	116.06473342699	287.084571410007	525.416299691064	-188.27580117762	43.1473139737355	-214.795065972095	583.068081410133	-28.0091324331997	154.68604645323	-48.1331784622597
"TCGA.05.4396.01"	58.7920777467583	-106.88652146585	80.9488509147275	-76.9857239948915	-515.032383570397	-203.796579502976	-324.742646911431	-193.16811326682	79.3507761791822	-200.326145465747	-376.871934126415	-35.976534853528	-5.86959621272716	-83.0648624776031
"TCGA.05.4397.01"	-221.228880071719	-127.167180224423	78.9365324224251	-77.017849974857	997.268313316385	-256.742319120629	-181.445881380212	-10.6034014024737	-111.124273136794	-470.140359189108	-248.020413816562	22.9880588540157	126.395706899052	-72.4623229563661
"TCGA.05.4398.01"	23.7090703522047	10.8542770380158	-42.6770993435941	351.194505659284	523.396192348992	70.871537574577	949.333947533161	26.4244945050797	-65.2370241080232	50.6594520189854	854.634037552367	-2.09446705678769	112.592935137862	5.26420969412901
"TCGA.05.4402.01"	17.1655398644616	-46.7890071097458	-215.147784249772	435.408610780399	880.63332847242	-17.0873159173808	118.581185676884	234.765902270558	-31.9426184746039	125.408857615499	132.842829916647	4.99913901581948	-39.3545605374179	53.9370058709877
"TCGA.05.4403.01"	157.300520099663	70.3582383466225	-6.97882089728289	-85.6855327573177	397.944073732327	56.6923521064904	-35.1603717012392	271.441297496773	-22.7387757985444	27.1581552660385	141.907384379517	42.3622331920417	-61.5794180029381	37.5869994203409
"TCGA.05.4405.01"	12.3864197066835	-6.75995451826201	-58.4585326439573	-303.548098100303	138.473142415215	18.8266394316766	-313.478962205499	22.2395984706392	-31.3265895161506	220.167481725745	-333.421777795633	0.653950776482332	16.9654493626946	-2.1270709564573
"TCGA.05.4410.01"	89.7550283236469	-105.800884083229	-208.720334597395	-161.344438283001	545.231979379135	-15.2297928884253	-64.7670346305232	-179.279464595422	-5.64673008715042	-176.129738657893	-229.189822395198	-4.74125165801429	131.833798296748	-31.7234768732147
"TCGA.05.4415.01"	-292.54270715146	138.419518472066	-157.008461101089	138.600542629506	130.68293059039	316.037347528583	-139.816363995292	-450.940405324143	287.512183446487	-260.828555520642	-68.6741797054447	-58.9781836969117	-2.19379637899769	3.3031342496611
"TCGA.05.4417.01"	54.9816262614302	86.9607487969875	253.352193788145	-158.716249757846	16.9879139928251	9.23567976670547	499.232661181269	-101.281662915966	11.760490871544	296.889299377598	370.869573359506	21.3735428383403	-42.2520168325003	2.4390105614624
"TCGA.05.4418.01"	-241.785611682844	152.403389756079	166.487774290685	408.640980044366	935.025967557263	139.587947154156	355.079330130412	152.327538337534	-65.524357143166	-92.6891713761829	359.187777968747	3.04886776864398	43.1278386500131	69.2287486063309
"TCGA.05.4420.01"	-114.246344173041	11.9679397716332	181.261884770175	-108.55718601631	-1018.66981077511	-16.5955434767239	-261.406111946004	-194.57425129309	-88.3726292333539	-109.507166401913	-281.576572897432	-16.1522267685754	56.1488777739677	5.84426539232604
"TCGA.05.4422.01"	-20.5886269676327	-125.910123443155	29.9088030300703	-183.533315631821	-329.313897245614	-258.635798735076	4.5996241353165	158.036521500978	-211.719150908193	-341.879253721202	-113.285664557696	11.4354916959212	-45.3583007494602	-60.0753218279979
"TCGA.05.4424.01"	202.900524650893	-54.3462529237394	39.0516733800684	-207.601098151745	252.931113875406	-96.1982013776476	8.78819810170357	-14.2329185404384	27.4914265563809	39.2221495306785	3.23614245884566	-4.48630896900798	-12.1752422499379	39.6010625668932
